Program,PriorExp,Rexperience,OperatingSystem,TVhours,Editor
PPM,Some experience,Never used,Windows,10.5,Other
Other,Extensive experience,Basic competence,Mac OS X,3,Microsoft Word
MISM,Never programmed before,Basic competence,Windows,0,Microsoft Word
PPM,Never programmed before,Never used,Windows,10,Excel
PPM,Never programmed before,Never used,Windows,4,Microsoft Word
PPM,Some experience,Basic competence,Mac OS X,0,Microsoft Word
PPM,Never programmed before,Never used,Mac OS X,2,Microsoft Word
PPM,Some experience,Installed on machine,Mac OS X,20,Other
PPM,Some experience,Basic competence,Windows,4,Microsoft Word
Other,Some experience,Basic competence,Windows,0,Microsoft Word
PPM,Never programmed before,Never used,Windows,15,Microsoft Word
PPM,Extensive experience,Never used,Linux/Unix,5,LaTeX
PPM,Extensive experience,Basic competence,Mac OS X,20,Microsoft Word
PPM,Some experience,Basic competence,Windows,10,Microsoft Word
PPM,Some experience,Never used,Windows,5,Other
PPM,Some experience,Experienced,Windows,2,Other
PPM,Some experience,Never used,Windows,14,Microsoft Word
MISM,Some experience,Experienced,Windows,10,LaTeX
MISM,Some experience,Basic competence,Mac OS X,4,Microsoft Word
PPM,Some experience,Basic competence,Windows,3,Microsoft Word
PPM,Extensive experience,Basic competence,Windows,6,Microsoft Word
Other,Extensive experience,Basic competence,Mac OS X,10,Microsoft Word
PPM,Some experience,Basic competence,Mac OS X,2,Microsoft Word
PPM,Some experience,Never used,Windows,3,Other
Other,Some experience,Basic competence,Mac OS X,3,LaTeX
Other,Some experience,Installed on machine,Windows,1,Microsoft Word
Other,Some experience,Never used,Windows,1,Microsoft Word
MISM,Some experience,Basic competence,Mac OS X,3,Microsoft Word
PPM,Some experience,Basic competence,Mac OS X,5,R Markdown
PPM,Some experience,Basic competence,Windows,10,R Markdown
PPM,Some experience,Never used,Windows,20,Microsoft Word
MISM,Some experience,Experienced,Windows,0,Microsoft Word
PPM,Some experience,Basic competence,Windows,9,Microsoft Word
PPM,Some experience,Installed on machine,Mac OS X,3,Microsoft Word
PPM,Some experience,Experienced,Mac OS X,4,Microsoft Word
PPM,Some experience,Installed on machine,Windows,8,Microsoft Word
MISM,Extensive experience,Experienced,Mac OS X,7,Microsoft Word
MISM,Some experience,Experienced,Windows,8,R Markdown
Other,Never programmed before,Never used,Windows,10,Microsoft Word
PPM,Some experience,Basic competence,Windows,10,Microsoft Word
PPM,Some experience,Installed on machine,Mac OS X,4,Microsoft Word
Other,Some experience,Basic competence,Windows,10,Microsoft Word
PPM,Some experience,Never used,Windows,4,Microsoft Word
PPM,Some experience,Never used,Windows,0,Microsoft Word
PPM,Extensive experience,Never used,Mac OS X,1,Other
PPM,Never programmed before,Never used,Windows,7,Microsoft Word
PPM,Some experience,Basic competence,Mac OS X,2,Other
PPM,Some experience,Basic competence,Windows,15,Microsoft Word
MISM,Some experience,Never used,Linux/Unix,8,LaTeX
PPM,Some experience,Installed on machine,Mac OS X,10,Microsoft Word
Other,Never programmed before,Never used,Windows,2,Microsoft Word
PPM,Some experience,Basic competence,Windows,3,Microsoft Word
PPM,Some experience,Never used,Windows,4,Microsoft Word
PPM,Some experience,Basic competence,Windows,21,Microsoft Word
PPM,Extensive experience,Installed on machine,Windows,10,LaTeX
Other,Some experience,Never used,Windows,20,Microsoft Word
MISM,Some experience,Basic competence,Mac OS X,0,Other
